date_time,subject,subject_count
08/06/2017 22:29," ""strong and stable"" OR #strongandstable",56
08/06/2017 22:30, BBC Coverage,120
08/06/2017 22:30, Conservative Seats,38
08/06/2017 22:30, ITV Coverage,16
08/06/2017 22:30, Labour Seats,53
08/06/2017 22:30, Lib Dem Seats,1
08/06/2017 22:30, SNP Seats,1
08/06/2017 22:30," ""coalitionofchaos"" OR #coalitionofchaos",1
08/06/2017 22:30," ""exit poll"" OR #exitpoll",1528
08/06/2017 22:30," ""for the many"" OR #forthemany",24
08/06/2017 22:30," ""hung parliament"" OR #hungparliament",314
08/06/2017 22:30," ""strong and stable"" OR #strongandstable",48
08/06/2017 22:31, BBC Coverage,95
08/06/2017 22:31, Conservative Seats,34
08/06/2017 22:31, ITV Coverage,14
08/06/2017 22:31, Labour Seats,49
08/06/2017 22:31, SNP Seats,1
08/06/2017 22:31," ""coalitionofchaos"" OR #coalitionofchaos",2
08/06/2017 22:31," ""exit poll"" OR #exitpoll",1396
08/06/2017 22:31," ""for the many"" OR #forthemany",23
08/06/2017 22:31," ""hung parliament"" OR #hungparliament",256
08/06/2017 22:31," ""strong and stable"" OR #strongandstable",56
08/06/2017 22:32, BBC Coverage,89
08/06/2017 22:32, Conservative Seats,32
08/06/2017 22:32, ITV Coverage,11
08/06/2017 22:32, Labour Seats,52
08/06/2017 22:32," ""exit poll"" OR #exitpoll",1379
08/06/2017 22:32," ""for the many"" OR #forthemany",24
08/06/2017 22:32," ""hung parliament"" OR #hungparliament",257
08/06/2017 22:32," ""strong and stable"" OR #strongandstable",41
08/06/2017 22:33, BBC Coverage,90
08/06/2017 22:33, Conservative Seats,35
08/06/2017 22:33, ITV Coverage,3
08/06/2017 22:33, Labour Seats,72
08/06/2017 22:33, SNP Seats,1
08/06/2017 22:33," ""coalitionofchaos"" OR #coalitionofchaos",1
08/06/2017 22:33," ""exit poll"" OR #exitpoll",1330
08/06/2017 22:33," ""for the many"" OR #forthemany",27
08/06/2017 22:33," ""hung parliament"" OR #hungparliament",255
08/06/2017 22:33," ""strong and stable"" OR #strongandstable",39
08/06/2017 22:34, BBC Coverage,142
08/06/2017 22:34, Conservative Seats,41
08/06/2017 22:34, ITV Coverage,5
08/06/2017 22:34, Labour Seats,46
08/06/2017 22:34, SNP Seats,2
08/06/2017 22:34," ""coalitionofchaos"" OR #coalitionofchaos",1
08/06/2017 22:34," ""exit poll"" OR #exitpoll",1311
08/06/2017 22:34," ""for the many"" OR #forthemany",24
08/06/2017 22:34," ""hung parliament"" OR #hungparliament",247
